"","V1","V2"
"1","abhor","anger"
"2","abhorr","anger"
"4","abhorrence","anger"
"6","abomin","anger"
"9","abominate","anger"
"10","abomination","anger"
"30","aggrav","anger"
"31","aggravate","anger"
"32","aggravated","anger"
"33","aggravation","anger"
"34","aggress","anger"
"35","aggression","anger"
"36","aggressive","anger"
"37","aggressiveness","anger"
"58","amok","anger"
"62","amuck","anger"
"63","anger","anger"
"64","angered","anger"
"65","angri","anger"
"66","angrili","anger"
"67","angrily","anger"
"68","angry","anger"
"69","animos","anger"
"70","animosity","anger"
"71","animus","anger"
"72","annoy","anger"
"73","annoyance","anger"
"74","annoyed","anger"
"75","annoying","anger"
"76","antagon","anger"
"77","antagonism","anger"
"119","avarici","anger"
"120","avaricious","anger"
"134","bad_blood","anger"
"135","bad_temp","anger"
"136","bad_temper","anger"
"137","baffl","anger"
"140","baffled","anger"
"141","balk","anger"
"142","balked","anger"
"154","bedevil","anger"
"155","begrudg","anger"
"156","begrudge","anger"
"157","begrudging","anger"
"161","belliger","anger"
"162","belligerence","anger"
"163","belligerency","anger"
"164","belligerent","anger"
"165","belligerently","anger"
"187","bitter","anger"
"188","bitterness","anger"
"200","bother","anger"
"201","bothersom","anger"
"202","bothersome","anger"
"205","brood","anger"
"232","chafe","anger"
"254","choler","anger"
"255","choleric","anger"
"257","class_feel","anger"
"258","class_feeling","anger"
"291","contemn","anger"
"300","covet","anger"
"301","covetous","anger"
"302","covetously","anger"
"303","covetousness","anger"
"312","crucifi","anger"
"313","crucify","anger"
"320","dander","anger"
"349","despis","anger"
"350","despisal","anger"
"351","despise","anger"
"352","despising","anger"
"353","despit","anger"
"354","despiteful","anger"
"360","detest","anger"
"364","detestation","anger"
"365","devil","anger"
"381","discourag","anger"
"383","discouraged","anger"
"385","disdain","anger"
"402","displeas","anger"
"403","displease","anger"
"404","displeased","anger"
"405","displeasing","anger"
"406","displeasingly","anger"
"407","displeasur","anger"
"408","displeasure","anger"
"436","dudgeon","anger"
"441","dun","anger"
"476","enfuri","anger"
"477","enfuriate","anger"
"479","enmiti","anger"
"480","enmity","anger"
"481","enrag","anger"
"482","enraged","anger"
"483","enragement","anger"
"496","envi","anger"
"497","enviabl","anger"
"498","enviable","anger"
"499","enviably","anger"
"500","envious","anger"
"501","enviously","anger"
"502","enviousness","anger"
"503","envy","anger"
"510","evil","anger"
"511","exacerb","anger"
"512","exacerbate","anger"
"514","exasper","anger"
"515","exasperate","anger"
"516","exasperating","anger"
"517","exasperation","anger"
"521","execr","anger"
"524","execrate","anger"
"525","execration","anger"
"575","fit","anger"
"604","frustrat","anger"
"605","frustrate","anger"
"606","frustrated","anger"
"607","frustrating","anger"
"608","frustration","anger"
"613","furi","anger"
"614","furious","anger"
"615","furiously","anger"
"616","fury","anger"
"620","gall","anger"
"621","galling","anger"
"626","get_at","anger"
"628","get_to","anger"
"662","grabbi","anger"
"663","grabby","anger"
"664","grasp","anger"
"665","grasping","anger"
"670","gravel","anger"
"673","greedi","anger"
"674","greedy","anger"
"675","green-ey","anger"
"676","green-eyed","anger"
"677","green-eyed_monst","anger"
"678","green-eyed_monster","anger"
"682","grievanc","anger"
"683","grievance","anger"
"689","grizzl","anger"
"690","grizzle","anger"
"692","grudg","anger"
"693","grudge","anger"
"694","grudging","anger"
"704","hackl","anger"
"705","hackles","anger"
"714","harass","anger"
"716","harassed","anger"
"717","harassment","anger"
"721","harri","anger"
"722","harried","anger"
"723","hate","anger"
"724","hateful","anger"
"725","hatefully","anger"
"726","hatr","anger"
"727","hatred","anger"
"733","heartburn","anger"
"734","heartburning","anger"
"757","high_dudgeon","anger"
"785","hostil","anger"
"786","hostile","anger"
"787","hostilely","anger"
"788","hostility","anger"
"791","huffi","anger"
"792","huffili","anger"
"793","huffily","anger"
"794","huffiness","anger"
"795","huffish","anger"
"796","huffishness","anger"
"797","huffy","anger"
"806","ill_temp","anger"
"807","ill_temper","anger"
"808","ill_wil","anger"
"809","ill_will","anger"
"812","incens","anger"
"813","incense","anger"
"814","incensed","anger"
"815","indign","anger"
"816","indignant","anger"
