"","V1","V2"
"28","affright","fear"
"29","afraid","fear"
"40","alarm","fear"
"41","alarmed","fear"
"42","alert","fear"
"81","anxious","fear"
"82","anxiously","fear"
"83","appal","fear"
"84","appall","fear"
"87","apprehens","fear"
"88","apprehension","fear"
"89","apprehensive","fear"
"90","apprehensively","fear"
"91","apprehensiveness","fear"
"113","atroci","fear"
"114","atrocious","fear"
"124","aw","fear"
"130","awful","fear"
"132","awfully","fear"
"146","bash","fear"
"147","bashfully","fear"
"195","bode","fear"
"196","boding","fear"
"211","browbeaten","fear"
"212","bulli","fear"
"213","bullied","fear"
"251","chill","fear"
"252","chilling","fear"
"259","cliff-hang","fear"
"261","cliff-hanging","fear"
"265","coldhearted","fear"
"266","coldheartedness","fear"
"289","constern","fear"
"290","consternation","fear"
"304","cow","fear"
"305","cowed","fear"
"306","cower","fear"
"307","crawl","fear"
"308","creep","fear"
"309","creeps","fear"
"310","cring","fear"
"311","cringe","fear"
"314","cruel","fear"
"315","cruelli","fear"
"316","cruelly","fear"
"317","cruelti","fear"
"318","cruelty","fear"
"322","dash","fear"
"323","daunt","fear"
"370","diffid","fear"
"371","diffidence","fear"
"372","diffident","fear"
"373","diffidently","fear"
"376","dire","fear"
"377","direful","fear"
"396","dismay","fear"
"429","dread","fear"
"430","dreaded","fear"
"431","dreadful","fear"
"432","dreadfully","fear"
"560","fawn","fear"
"561","fear","fear"
"562","fearful","fear"
"563","fearfully","fear"
"564","fearfulness","fear"
"565","fearsom","fear"
"566","fearsome","fear"
"584","forebod","fear"
"585","foreboding","fear"
"596","fright","fear"
"597","frighten","fear"
"598","frighten_away","fear"
"599","frighten_off","fear"
"600","frightened","fear"
"601","frightening","fear"
"602","frighteningly","fear"
"603","frightful","fear"
"691","grovel","fear"
"706","hangdog","fear"
"718","hardheart","fear"
"719","hardhearted","fear"
"720","hardheartedness","fear"
"736","heartless","fear"
"737","heartlessly","fear"
"738","heartlessness","fear"
"749","hesit","fear"
"750","hesitance","fear"
"751","hesitancy","fear"
"752","hesitantly","fear"
"753","hesitatingly","fear"
"755","hideous","fear"
"756","hideously","fear"
"767","horrend","fear"
"768","horrendous","fear"
"769","horribl","fear"
"770","horrible","fear"
"771","horribly","fear"
"772","horrid","fear"
"773","horridly","fear"
"774","horrif","fear"
"775","horrifi","fear"
"776","horrific","fear"
"777","horrified","fear"
"778","horrify","fear"
"779","horrifying","fear"
"780","horrifyingly","fear"
"782","horror","fear"
"783","horror-stricken","fear"
"784","horror-struck","fear"
"798","hyster","fear"
"799","hysteria","fear"
"800","hysterical","fear"
"801","hysterically","fear"
"833","intimid","fear"
"834","intimidate","fear"
"835","intimidated","fear"
"836","intimidation","fear"
"968","merciless","fear"
"969","mercilessness","fear"
"1004","monstrous","fear"
"1005","monstrously","fear"
"1056","outrag","fear"
"1059","outrageous","fear"
"1062","pall","fear"
"1063","panic","fear"
"1064","panic_attack","fear"
"1065","panic-stricken","fear"
"1066","panic-struck","fear"
"1067","panick","fear"
"1068","panicked","fear"
"1069","panicki","fear"
"1070","panicky","fear"
"1112","pitiless","fear"
"1113","pitilessness","fear"
"1135","premonit","fear"
"1136","premonition","fear"
"1137","presag","fear"
"1138","presage","fear"
"1139","presenti","fear"
"1140","presentiment","fear"
"1223","ruthless","fear"
"1224","ruthlessness","fear"
"1244","scare","fear"
"1245","scare_away","fear"
"1246","scare_off","fear"
"1247","scared","fear"
"1248","scarey","fear"
"1249","scari","fear"
"1250","scarili","fear"
"1251","scarily","fear"
"1252","scary","fear"
"1264","self-distrust","fear"
"1265","self-doubt","fear"
"1273","shadow","fear"
"1278","shi","fear"
"1279","shiveri","fear"
"1280","shivery","fear"
"1283","shudderi","fear"
"1284","shuddery","fear"
"1285","shy","fear"
"1286","shyli","fear"
"1287","shyly","fear"
"1288","shyness","fear"
"1322","stage_fright","fear"
"1357","suspens","fear"
"1359","suspense","fear"
"1361","suspenseful","fear"
"1363","suspensive","fear"
"1385","terribl","fear"
"1386","terrible","fear"
"1388","terrifi","fear"
"1391","terrified","fear"
"1392","terror","fear"
"1401","timid","fear"
"1402","timidity","fear"
"1403","timidly","fear"
"1404","timidness","fear"
"1405","timor","fear"
"1406","timorous","fear"
"1407","timorously","fear"
"1408","timorousness","fear"
"1424","trepid","fear"
"1425","trepidation","fear"
"1426","trepidly","fear"
"1437","ugli","fear"
"1438","ugly","fear"
"1442","unassert","fear"
"1443","unassertive","fear"
"1444","unassertively","fear"
"1445","unassertiveness","fear"
"1449","uneasili","fear"
"1450","uneasily","fear"
"1454","unkind","fear"
"1455","unsur","fear"
"1456","unsure","fear"
